### name | cross-section | sum of weights | efficiency
data|1|1|1
Zee|1950.5295|150277594200|1
Zmumu|1950.6321|147334691090|1
Ztautau|1950.6321|56171652547.3|1
Wplusenu|11500.4632|473389396815|1
Wplusmunu|11500.4632|446507925520|1
Wplustaunu|11500.4632|670928468875|1
Wminusenu|8579.63498|247538642447|1
Wminusmunu|8579.63498|264338188182|1
Wminustaunu|8579.63498|165195850954|1
ZqqZll|2.20355112|3439266.11559|1
WqqZll|3.4328|241438.72705|1
WpqqWmlv|24.708|998250.783475|1
WplvWmqq|24.724|1069526.41899|1
WlvZqq|11.42|1111991.15979|1
llll|1.2578|7538705.8077|1
lllv|4.6049|5441475.00407|1
llvv|12.466|5039259.9696|1
lvvv|3.2286|1727991.07441|1
ttbar_lep|452.693559|49386600|1
single_top_tchan|44.152|4986200|1
single_antitop_tchan|26.276|4989800|1
single_top_schan|2.06121|997800|1
single_antitop_schan|1.288662|995400|1
single_top_wtchan|35.845486|4865800|1
single_antitop_wtchan|35.824406|4945600|1
ggH125_WW2lep|0.58|55832659.6908|1
VBFH125_WW2lep|0.04|4389990.08913|1
