### name | cross-section | sum of weights | efficiency
data|1|1|1
ttbar_lep|452.693559|49296600|1
single_top_tchan|44.152|4986200|1
single_antitop_tchan|26.276|4989800|1
single_top_schan|2.06121|997800|1
single_antitop_schan|1.288662|995400|1
single_top_wtchan|35.845486|4865800|1
single_antitop_wtchan|35.824406|4945600|1
Zmumu_PTV0_70_CVetoBVeto|1588.474174|5319367.44387|1
Zmumu_PTV0_70_CFilterBVeto|219.4826028|2834664.0856|1
Zmumu_PTV0_70_BFilter|127.1303743|4078710.85229|1
Zmumu_PTV70_140_CVetoBVeto|73.36940289|2143575.01278|1
Zmumu_PTV70_140_CFilterBVeto|20.90606833|722736.703003|1
Zmumu_PTV70_140_BFilter|12.50542972|2053470.59226|1
Zmumu_PTV140_280_CVetoBVeto|23.43735064|2940060.231|1
Zmumu_PTV140_280_CFilterBVeto|9.145130781|1961708.95573|1
Zmumu_PTV140_280_BFilter|6.076989874|3441102.46707|1
Zmumu_PTV280_500_CVetoBVeto|4.657367095|1705022.00352|1
Zmumu_PTV280_500_CFilterBVeto|2.214827532|906361.047826|1
Zmumu_PTV280_500_BFilter|1.468357812|1854208.83636|1
Zmumu_PTV500_1000|1.74260121|2944710.97814|1
Zmumu_PTV1000|0.14392476|1007977.7298|1
Zee_PTV0_70_CVetoBVeto|1587.021595|5307644.52827|1
Zee_PTV0_70_CFilterBVeto|219.9958116|2839137.81561|1
Zee_PTV0_70_BFilter|127.0857614|4053053.52848|1
Zee_PTV70_140_CVetoBVeto|74.90381742|2164248.98844|1
Zee_PTV70_140_CFilterBVeto|20.3159891|715162.089738|1
Zee_PTV70_140_BFilter|12.73880801|2043192.28295|1
Zee_PTV140_280_CVetoBVeto|24.44184978|2966342.61469|1
Zee_PTV140_280_CFilterBVeto|9.237605979|1976624.57582|1
Zee_PTV140_280_BFilter|6.081254464|3396476.98264|1
Zee_PTV280_500_CVetoBVeto|4.796836771|1622207.75969|1
Zee_PTV280_500_CFilterBVeto|2.249186051|908261.497964|1
Zee_PTV280_500_BFilter|1.49219843|1854184.55614|1
Zee_PTV500_1000|1.76415092|2942740.91362|1
Zee_PTV1000|0.145046125|994142.027341|1
Ztautau_PTV0_70_CVetoBVeto|1612.531483|5261983.52635|1
Ztautau_PTV0_70_CFilterBVeto|211.7088872|2848153.01809|1
Ztautau_PTV0_70_BFilter|127.0915597|4060541.5209|1
Ztautau_PTV70_140_CVetoBVeto|74.70740605|2168444.60741|1
Ztautau_PTV70_140_CFilterBVeto|20.50813626|717613.996532|1
Ztautau_PTV70_140_BFilter|11.96510571|2071490.99782|1
Ztautau_PTV140_280_CVetoBVeto|24.57266372|2969289.71879|1
Ztautau_PTV140_280_CFilterBVeto|9.301821784|1983172.64602|1
Ztautau_PTV140_280_BFilter|6.192971739|3430451.22731|1
Ztautau_PTV280_500_CVetoBVeto|4.759698353|1656090.74518|1
Ztautau_PTV280_500_CFilterBVeto|2.236223236|905387.206237|1
Ztautau_PTV280_500_BFilter|1.491840072|1853029.9701|1
Ztautau_PTV500_1000|1.76249325|2923750.21933|1
Ztautau_PTV1000|0.144568326|997974.838867|1
Wplusenu|11500.4632|473389396815|1
Wplusmunu|11500.4632|446507925520|1
Wplustaunu|11500.4632|670928468875|1
Wminusenu|8579.63498|247538642447|1
Wminusmunu|8579.63498|264338188182|1
Wminustaunu|8579.63498|165195850954|1
ZqqZll|15.563|3439266.11559|1
WqqZll|3.437|241438.72705|1
WpqqWmlv|24.717|998250.783475|1
WplvWmqq|112.74|1069526.41899|1
WlvZqq|11.413|1111991.15979|1
llll|1.2578|7538705.8077|1
lllv|4.6049|5441475.00407|1
llvv|12.466|5039259.9696|1
lvvv|3.2286|1727991.07441|1
slep600DM300|0.000464769511|10457.5703245|1
