### name | cross-section | sum of weights | efficiency
data|1|1|1
ttbar_lep|452.693559|49296600|1
single_top_tchan|44.152|4986200|1
single_antitop_tchan|26.276|4989800|1
single_top_schan|2.06121|997800|1
single_antitop_schan|1.288662|995400|1
single_top_wtchan|35.845486|4865800|1
single_antitop_wtchan|35.824406|4945600|1
Wmunu_PTV0_70_CVetoBVeto|15317.171239|16619290.3298|1
Wmunu_PTV0_70_CFilterBVeto|2431.204019|5643599.11526|1
Wmunu_PTV0_70_BFilter|828.465384|10403012.6599|1
Wmunu_PTV70_140_CVetoBVeto|617.439593|5418398.88082|1
Wmunu_PTV70_140_CFilterBVeto|225.006704|3693885.78953|1
Wmunu_PTV70_140_BFilter|76.213179|7990084.35926|1
Wmunu_PTV140_280_CVetoBVeto|198.635592|6155495.28527|1
Wmunu_PTV140_280_CFilterBVeto|96.233222|5260811.17463|1
Wmunu_PTV140_280_BFilter|36.348467|7271557.26566|1
Wmunu_PTV280_500_CVetoBVeto|38.299835|4325283.67358|1
Wmunu_PTV280_500_CFilterBVeto|22.395647|2783968.68238|1
Wmunu_PTV280_500_BFilter|8.768196|2835707.22044|1
Wmunu_PTV500_1000|14.558821|5941704.99235|1
Wmunu_PTV1000|1.198003|4068015.22447|1
Wenu_PTV0_70_CVetoBVeto|15324.216356|16615214.8608|1
Wenu_PTV0_70_CFilterBVeto|2430.656322|5647044.71225|1
Wenu_PTV0_70_BFilter|832.203758|10407897.8772|1
Wenu_PTV70_140_CVetoBVeto|618.6882|5098540.19503|1
Wenu_PTV70_140_CFilterBVeto|223.63946|3661915.17878|1
Wenu_PTV70_140_BFilter|94.875534|3980401.78673|1
Wenu_PTV140_280_CVetoBVeto|197.343129|6121546.03361|1
Wenu_PTV140_280_CFilterBVeto|96.277568|5263243.42582|1
Wenu_PTV140_280_BFilter|35.917295|7327201.08884|1
Wenu_PTV280_500_CVetoBVeto|38.340533|4312357.01458|1
Wenu_PTV280_500_CFilterBVeto|22.36999|2778654.28759|1
Wenu_PTV280_500_BFilter|9.586345|2835314.68179|1
Wenu_PTV500_1000|14.598599|6003269.52809|1
Wenu_PTV1000|1.197518|4075236.23897|1
Wtaunu_PTV0_70_CVetoBVeto|15324.887336|11929044.1188|1
Wtaunu_PTV0_70_CFilterBVeto|2443.425881|5671521.55269|1
Wtaunu_PTV0_70_BFilter|837.531038|10498770.1084|1
Wtaunu_PTV70_140_CVetoBVeto|620.166885|5427023.47527|1
Wtaunu_PTV70_140_CFilterBVeto|222.595303|3719117.16117|1
Wtaunu_PTV70_140_BFilter|95.365521|3969118.20687|1
Wtaunu_PTV140_280_CVetoBVeto|197.370776|6166514.76606|1
Wtaunu_PTV140_280_CFilterBVeto|93.808553|5085280.31607|1
Wtaunu_PTV140_280_BFilter|34.639523|7291603.73991|1
Wtaunu_PTV280_500_CVetoBVeto|38.34009|4322848.66983|1
Wtaunu_PTV280_500_CFilterBVeto|22.268425|2772305.06916|1
Wtaunu_PTV280_500_BFilter|9.490847|2830341.62344|1
Wtaunu_PTV500_1000|14.60345|5932750.60186|1
Wtaunu_PTV1000|1.197324|4057477.95297|1
Zee|1950.5295|150277594200|1
Zmumu|1950.6321|147334691090|1
Ztautau|1950.6321|56171652547.3|1
ZqqZll|2.20355112|3439266.11559|1
WqqZll|3.4328|241438.72705|1
###WpqqWmlv|24.708|998250.783475|1
WplvWmqq|24.724|1069526.41899|1
WlvZqq|11.42|1111991.15979|1
###llll|1.2578|7538705.8077|1
lllv|4.6049|5441475.00407|1
llvv|12.466|5039259.9696|1
lvvv|3.2286|1727991.07441|1
ZPrime1000_tt|1.1261|199800|1
