### name | cross-section | sum of weights | efficiency
data|1|1|1
Z_ee|1950.5295|150277594200|1
Z_mumu|1950.6321|147334691090|1
Z_tautau|1950.6321|56171652547.3|1
Wplusenu|11500.4632|473389396815|1
Wplusmunu|11500.4632|446507925520|1
Wplustaunu|11500.4632|670928468875|1
Wminusenu|8579.63498|247538642447|1
Wminusmunu|8579.63498|264338188182|1
Wminustaunu|8579.63498|165195850954|1
WWlvlv|10.636|63036317.0092|1
WZlvll|4.5105|44460904.1913|1
WZlvvv|2.7781|2729482.37882|1
ZZllll|1.2668|4969006.30392|1
ZZvvll|0.92303|900478.506074|1
WWlvqq|44.177|191873538.831|1
WZqqll|3.2882|4814628.76491|1
WZlvqq|10.095|97765296.6598|1
ZZqqll|2.2761|8927335.64006|1
ttbar_lep|452.693559|49386600|1
single_top_tchan|44.152|0.218165148808|1
single_antitop_tchan|26.276|0.128694693283|1
single_top_schan|2.06121|0.00204856751068|1
single_antitop_schan|1.288662|0.00125651986173|1
single_top_wtchan|35.845486|4865800|1
single_antitop_wtchan|35.824406|4945600|1
ggH125_ZZ4lep|0.0060239|27881776.6536|1
ZH125_ZZ4lep|0.0000021424784|150000|1
WH125_ZZ4lep|0.0003769|149400|1
VBFH125_ZZ4lep|0.0004633012|3680490.83243|1
