### name | cross-section | sum of weights | efficiency
data|1|1|1
Z_ee|1950.5295|150277594200|1
Z_mumu|1950.6321|147334691090|1
Z_tautau|1950.6321|56171652547.3|1
WWlvlv|10.636|63036317.0092|1
WZlvll|4.5105|44460904.1913|1
WZlvvv|2.7781|2729482.37882|1
ZZllll|1.2668|4969006.30392|1
ZZvvll|0.92303|900478.506074|1
WWlvqq|44.177|191873538.831|1
WZqqll|3.2882|4814628.76491|1
WZlvqq|10.095|97765296.6598|1
ZZqqll|2.2761|8927335.64006|1
ttbar_lep|452.693559|49386600|1
single_top_tchan|44.152|4986200|1
single_antitop_tchan|26.276|4989800|1
single_top_schan|2.06121|997800|1
single_antitop_schan|1.288662|995400|1
single_top_wtchan|35.845486|4865800|1
single_antitop_wtchan|35.824406|4945600|1
Wmu0_70CVetoBVeto|15317.171239|16619290.3298|1
Wmu0_70CFilterBVeto|2431.204019|5643599.11526|1
Wmu0_70BFilter|828.465384|10403012.6599|1
Wmu70_140CVetoBVeto|617.439593|5418398.88082|1
Wmu70_140CFilterBVeto|225.006704|3693885.78953|1
Wmu70_140BFilter|76.213179|7990084.35926|1
Wmu140_280CVetoBVeto|198.635592|6155495.28527|1
Wmu140_280CFilterBVeto|96.233222|5260811.17463|1
Wmu140_280BFilter|36.348467|18222434.0789|1
Wmu280_500CVetoBVeto|38.299835|4325283.67358|1
Wmu280_500CFilterBVeto|22.395647|2783968.68238|1
Wmu280_500BFilter|8.768196|2835707.22044|1
Wmu500_1000|14.558821|5941704.99235|1
Wmu1000|1.198003|3882898.99675|1
We0_70CVetoBVeto|15324.216356|16615214.8608|1
We0_70CFilterBVeto|2430.656322|5647044.71225|1
We0_70BFilter|832.203758|10407897.8772|1
We70_140CVetoBVeto|618.6882|5359689.22316|1
We70_140CFilterBVeto|223.63946|3714792.41865|1
We70_140BFilter|94.875534|3980401.78673|1
We140_280CVetoBVeto|197.343129|6159276.028|1
We140_280CFilterBVeto|96.277568|5263243.42582|1
We140_280BFilter|35.917295|18298138.5816|1
We280_500CVetoBVeto|38.340533|4312357.01458|1
We280_500CFilterBVeto|22.36999|2778654.28759|1
We280_500BFilter|9.586345|2835314.68179|1
We500_1000|14.598599|6003269.52809|1
We1000|1.197518|4075236.23897|1
Wtau0_70CVetoBVeto|15324.887336|16726425.0218|1
Wtau0_70CFilterBVeto|2443.425881|5671521.55269|1
Wtau0_70BFilter|837.531038|10498770.1084|1
Wtau70_140CVetoBVeto|620.166885|5427023.47527|1
Wtau70_140CFilterBVeto|222.595303|3719117.16117|1
Wtau70_140BFilter|95.365521|3969118.20687|1
Wtau140_280CVetoBVeto|197.370776|6166514.76606|1
Wtau140_280CFilterBVeto|93.808553|5184365.13393|1
Wtau140_280BFilter|34.639523|7291603.73991|1
Wtau280_500CVetoBVeto|38.34009|4322848.66983|1
Wtau280_500CFilterBVeto|22.268425|2772305.06916|1
Wtau280_500BFilter|9.490847|2830341.62344|1
Wtau500_1000|14.60345|5389084.10064|1
Wtau1000|1.197324|4057477.95297|1
