### name | cross-section | sum of weights | efficiency
data|1|1|1
ggH125_WW2lep|0.21288|497986.026|0.357042356
VBFH125_WW2lep|0.0181|298858.242|0.544650854
ttbar_lep|137.29749|49761200.21|0.072212854
ttbar_had|115.518854|9753687.763|1
Z_ee|1241.2072|203795455568148|0.151816307
Z_mumu|1241.2072|225316022111048|0.124706551
Z_tautau|1240.8988|31508540303680.9|0.921502294
DYeeM08to15|92.15|4772549.624|0.893071694
DYeeM15to40|279.19|13895470.42|0.945799529
DYmumuM08to15|92.08|4977032.008|0.960298189
DYmumuM15to40|279.2|11510844.32|0.999654588
DYtautauM08to15|92.12|2489620.309|1
DYtautauM15to40|279.11|13704752.81|1
WW|20.90286|2489550.66|0.388
WZ|6.9673|996210.5|0.96668
ZZ|1.5376|243674.74|0.95088
WenuWithB|154.374|4260058.061|0.129496439
WenuJetsBVeto|591.624|1719244.25|0.981554126
WenuNoJetsBVeto|11324.5|13179098.28|0.946929361
WmunuWithB|154.429|4010756.4|0.133223309
WmunuJetsBVeto|513.117|1726755.472|0.905793003
WmunuNoJetsBVeto|11404.8|11600960.24|0.943743915
WtaunuWithB|154.374|4343529.568|0.188978183
WtaunuJetsBVeto|557.095|1776192.932|0.913648001
WtaunuNoJetsBVeto|11359.7|13316520.62|0.926932574
stop_tchan_top|18.39495|0.087147591|0.08947185
stop_tchan_antitop|9.95976|0.046283642|0.058425933
stop_schan|1.817694|5972600.588|0.051100576
stop_wtchan|22.3014|996333.734|0.636162836
ZPrime1000|0.3937|99854.551|1
