### name | cross-section | sum of weights | efficiency
data|1|1|1
ttbar_lep|452.693559|49296600|1
single_top_tchan|44.152|4986200|1
single_antitop_tchan|26.276|4989800|1
single_top_schan|2.06121|997800|1
single_antitop_schan|1.288662|995400|1
single_top_wtchan|35.845486|4865800|1
single_antitop_wtchan|35.824406|4945600|1
Zmumu_PTV0_70_CVetoBVeto|1588.474174|5319367.44387|1
Zmumu_PTV0_70_CFilterBVeto|219.4826028|2834664.0856|1
Zmumu_PTV0_70_BFilter|127.1303743|4078710.85229|1
Zmumu_PTV70_140_CVetoBVeto|73.36940289|2143575.01278|1
Zmumu_PTV70_140_CFilterBVeto|20.90606833|722736.703003|1
Zmumu_PTV70_140_BFilter|12.50542972|2053470.59226|1
Zmumu_PTV140_280_CVetoBVeto|23.43735064|2940060.231|1
Zmumu_PTV140_280_CFilterBVeto|9.145130781|1961708.95573|1
Zmumu_PTV140_280_BFilter|6.076989874|3441102.46707|1
Zmumu_PTV280_500_CVetoBVeto|4.657367095|1705022.00352|1
Zmumu_PTV280_500_CFilterBVeto|2.214827532|906361.047826|1
Zmumu_PTV280_500_BFilter|1.468357812|1854208.83636|1
Zmumu_PTV500_1000|1.74260121|2944710.97814|1
Zmumu_PTV1000|0.14392476|1007977.7298|1
Zee_PTV0_70_CVetoBVeto|1587.021595|5307644.52827|1
Zee_PTV0_70_CFilterBVeto|219.9958116|2839137.81561|1
Zee_PTV0_70_BFilter|127.0857614|4053053.52848|1
Zee_PTV70_140_CVetoBVeto|74.90381742|2164248.98844|1
Zee_PTV70_140_CFilterBVeto|20.3159891|715162.089738|1
Zee_PTV70_140_BFilter|12.73880801|2043192.28295|1
Zee_PTV140_280_CVetoBVeto|24.44184978|2966342.61469|1
Zee_PTV140_280_CFilterBVeto|9.237605979|1976624.57582|1
Zee_PTV140_280_BFilter|6.081254464|3396476.98264|1
Zee_PTV280_500_CVetoBVeto|4.796836771|1622207.75969|1
Zee_PTV280_500_CFilterBVeto|2.249186051|908261.497964|1
Zee_PTV280_500_BFilter|1.49219843|1854184.55614|1
Zee_PTV500_1000|1.76415092|2942740.91362|1
